model,test_matches,top_1_accuracy,top_3_accuracy,top_5_accuracy,exact_score_log_loss,brier_1x2,shared_lambda
ml_hist_gradient_boosting_poisson_lr_0_05_iter_150,4568,0.137478108581436,0.3662434325744308,0.5363397548161121,2.9640631994466977,0.5139011475414339,
historical_frequency,4568,0.1079246935201401,0.2931260945709282,0.4492119089316987,3.1080657083733945,0.6336638528112837,
form_bivariate_poisson,4568,0.1118651488616462,0.315893169877408,0.4772329246935201,3.1656446830829528,0.5913161279499378,0.0
form_poisson,4568,0.1118651488616462,0.315893169877408,0.4770140105078809,3.1656446830829528,0.5913161279499378,
