split,model,selected_by_validation,test_matches,top_1_accuracy,top_3_accuracy,top_5_accuracy,exact_score_log_loss,brier_1x2
test_2022_plus,current_hgb_unweighted,True,4640,0.13706896551724138,0.36530172413793105,0.5359913793103448,2.9642271121401467,0.5139947811002077
test_2022_plus,hgb_poisson_weighted_hl48m,False,4640,0.13017241379310346,0.3625,0.5336206896551724,2.972401914148764,0.5123470968830541
test_2022_plus,hgb_poisson_weighted_hl24m,False,4640,0.13599137931034483,0.36530172413793105,0.531896551724138,2.9808116112420846,0.5145494212768221
test_2022_plus,hgb_poisson_weighted_hl12m,False,4640,0.13060344827586207,0.3575431034482759,0.5258620689655172,2.9955197641676965,0.5154271028913088
test_2022_plus,hgb_poisson_weighted_hl6m,False,4640,0.13383620689655173,0.3540948275862069,0.5247844827586207,3.0045648955502435,0.5177432522183237
validation,current_hgb_unweighted,True,3540,0.14689265536723164,0.37966101694915255,0.5627118644067797,3.085744373529203,0.5042008559267996
validation,hgb_poisson_weighted_hl48m,False,3540,0.1536723163841808,0.38531073446327685,0.5584745762711865,3.0979292086489667,0.5059712749519601
validation,hgb_poisson_weighted_hl24m,False,3540,0.15028248587570622,0.3805084745762712,0.5576271186440678,3.1003393670779635,0.5080248421836013
validation,hgb_poisson_weighted_hl12m,False,3540,0.14548022598870056,0.37824858757062146,0.5480225988700564,3.117049443353604,0.5118291953567308
validation,hgb_poisson_weighted_hl6m,False,3540,0.1522598870056497,0.3601694915254237,0.5406779661016949,3.149602702721468,0.521435656166041
